,id,redshift,mass,simulation,snap,ax,rot
0,tSZ_sim=D17_snap=088_mass=14.97_reds=0.03_ax=x_rot=180,0.03,14.97,D17,088,x,180
0,tSZ_sim=D29_snap=076_mass=14.61_reds=0.19_ax=y_rot=0,0.19,14.61,D29,076,y,0
0,tSZ_sim=D28_snap=088_mass=14.91_reds=0.03_ax=y_rot=90,0.03,14.91,D28,088,y,90
0,tSZ_sim=D18_snap=088_mass=14.74_reds=0.03_ax=x_rot=180,0.03,14.74,D18,088,x,180
0,tSZ_sim=D27_snap=041_mass=14.26_reds=1.00_ax=x_rot=0,1.0,14.26,D27,041,x,0
0,tSZ_sim=D9_snap=072_mass=13.81_reds=0.25_ax=z_rot=0,0.25,13.81,D9,072,z,0
0,tSZ_sim=D2_snap=076_mass=14.31_reds=0.19_ax=z_rot=180,0.19,14.31,D2,076,z,180
0,tSZ_sim=D26_snap=052_mass=14.62_reds=0.65_ax=x_rot=90,0.65,14.62,D26,052,x,90
0,tSZ_sim=D22_snap=080_mass=15.04_reds=0.13_ax=y_rot=270,0.13,15.04,D22,080,y,270
0,tSZ_sim=D5_snap=052_mass=13.69_reds=0.65_ax=x_rot=0,0.65,13.69,D5,052,x,0
0,tSZ_sim=D28_snap=060_mass=14.44_reds=0.46_ax=y_rot=90,0.46,14.44,D28,060,y,90
0,tSZ_sim=D7_snap=044_mass=14.33_reds=0.89_ax=z_rot=180,0.89,14.33,D7,044,z,180
0,tSZ_sim=D19_snap=056_mass=14.72_reds=0.55_ax=x_rot=180,0.55,14.72,D19,056,x,180
0,tSZ_sim=D10_snap=080_mass=14.78_reds=0.13_ax=x_rot=90,0.13,14.78,D10,080,x,90
0,tSZ_sim=D19_snap=072_mass=14.73_reds=0.25_ax=x_rot=0,0.25,14.73,D19,072,x,0
0,tSZ_sim=D6_snap=048_mass=14.37_reds=0.76_ax=y_rot=0,0.76,14.37,D6,048,y,0
0,tSZ_sim=D6_snap=064_mass=14.57_reds=0.39_ax=z_rot=0,0.39,14.57,D6,064,z,0
